wordname,pos,freq,meaning,language
use,verb,49896,使う、使用する,java
return,verb,45599,帰る、戻る,java
specify,verb,42967,明示する,java
swing,verb,31681,揺れ動く、ぶらぶら揺れる,java
give,verb,26763,与える、提供する,java
contain,verb,24775,(…を)(内に)含む、包含する,java
set,verb,20872,置く,java
create,verb,20845,創造する,java
deprecate,verb,17611,非難する、軽視する,java
see,verb,16618,(…を)見る、(…が)見える,java
protect,verb,15461,(…を)保護する、防ぐ,java
represent,verb,14453,代表する、代理する,java
change,verb,14392,変える,java
declare,verb,14283,宣言する、公表する,java
register,verb,13474,登録する,java
get,verb,12896,受け取る,java
add,verb,11936,加える、追加する,java
disable,verb,11290,不具にする、できなくする,java
report,verb,11121,報告する、報じる,java
call,verb,10922,読みあげる、指令す、呼ぶ,java
work,verb,10727,働く,java
track,verb,10593,追跡する,java
reserve,verb,10552,(…を)取っておく、使わずにおく,java
script,verb,10274,台本を書く,java
target,verb,10231,目標に定める,java
license,verb,10190,認可する,java
suggest,verb,10173,提案する,java
provide,verb,9089,供給する,java
support,verb,8839,支持する、支援する,java
throw,verb,8809,投げる、投げつける,java
define,verb,8755,定義する,java
indicate,verb,8682,(…を)指摘する、(…を)示す,java
invoke,verb,8112,祈る、呼び出す,java
remove,verb,7458,取り去る,java
write,verb,7299,書く,java
implement,verb,7184,実行する、実施する,java
associate,verb,6997,関係づける、関連づけて考える,java
nest,verb,6964,巣を作る、巣ごもる,java
construct,verb,6937,建設する、作成する,java
name,verb,6267,名をつける、命名する,java
occur,verb,6056,(…に)起こる、生じる,java
select,verb,5107,選ぶ,java
obtain,verb,5056,得る,java
read,verb,5048,読む,java
retrieve,verb,4944,(…を)取り戻す、回収する,java
allow,verb,4705,(…を)許す,java
extend,verb,4623,広げる、拡張する,java
describe,verb,4421,(…を)言葉で述べる、記述する,java
start,verb,4016,出発する、始まる,java
base,verb,4010,基礎を置く、基礎づける,java
make,verb,3885,作る、造る,java
determine,verb,3872,決心する、決意する,java
include,verb,3806,(…を)含む,java
handle,verb,3768,扱う,java
follow,verb,3608,(…に)ついていく、続く、従う,java
perform,verb,3568,する、行なう,java
finalize,verb,3566,完成させる、終了させる,java
pass,verb,3538,通過する,java
object,verb,3504,反対する，抗議する,java
require,verb,3343,必要とする、(…を)要求する,java
initialize,verb,3319,初期値にセットする、初期化する,java
compare,verb,3273,(…と)比較する,java
generate,verb,3243,引き起こす生じる、起こす,java
load,verb,3158,どっさり詰め込む,java
enable,verb,3107,可能にさせる、できるようにする,java
exist,verb,3040,存在する、現存する,java
run,verb,2957,走る、駆ける,java
replace,verb,2910,(…に)取って代わる,java
need,verb,2867,〈…を〉必要とする、〈…の〉必要がある,java
produce,verb,2824,生ずる、製造する,java
find,verb,2824,見つけ出す,java
identify,verb,2767,確認する、見分ける,java
accord,verb,2757,一致する、調和する,java
store,verb,2738,蓄える、備蓄する,java
display,verb,2699,展示する、陳列する,java
apply,verb,2651,(…に)適用する、応用する,java
update,verb,2510,(…を)最新のものにする、最新式にする,java
receive,verb,2510,受け取る,java
convert,verb,2483,(…を)(…に)変える、転換する,java
take,verb,2413,(…を)取る,java
match,verb,2363,調和する，似合う,java
visit,verb,2359,訪問する,java
execute,verb,2346,実行する、遂行する,java
print,verb,2313,印刷する,java
correspond,verb,2309,一致する,java
copy,verb,2304,写し、複写,java
serialize,verb,2290,順番に並べる、シリアル化する,java
parse,verb,2244,品詞・文法的関係を説明する,java
check,verb,2218,調べる、点検する、照合する,java
paint,verb,2207,塗る,java
encode,verb,2204,暗号に書き直す,java
close,verb,2186,閉じる、閉める,java
send,verb,2086,送る、届ける,java
process,verb,2060,加工(貯蔵)する.,java
result,verb,2039,結果として生じる,java
complete,verb,1945,終える、仕上げる,java
hold,verb,1914,(手に)持つ、握る,java
control,verb,1906,支配する、管理する,java
request,verb,1898,懇願する、要請する,java
render,verb,1884,与える、描写する,java
feel,verb,1810,感じる,java
show,verb,1808,見せる、示す,java
supply,verb,1780,供給する、与える,java
insert,verb,1764,(…に)差し込む、挿入する,java
cause,verb,1717,原因となる、もたらす,java
bind,verb,1707,(…で)縛る、(…を)結び合わせる、,java
ignore,verb,1659,(…を)無視する,java
