wordname,pos,freq,meaning,language
also,adverb,23002,また,java
long,adverb,11961,長い,java
double,adverb,5062,二重に,java
otherwise,adverb,4409,さもなければ,java
currently,adverb,3123,現在は,java
instead,adverb,2049,その代わりとして,java
always,adverb,2013,常に,java
already,adverb,1971,すでに,java
directly,adverb,1670,まっすぐに,java
typically,adverb,1619,典型的に,java
first,adverb,1582,先に,java
however,adverb,1330,しかしながら,java
close,adverb,1324,〔…に〕接して、すぐそばに,java
well,adverb,1188,満足に,java
normally,adverb,1078,標準的に,java
exactly,adverb,1071,正確に、厳密に,java
else,adverb,1067,そのほかの、他の,java
immediately,adverb,1064,直ちに、早速,java
explicitly,adverb,1056,はっきりと,java
even,adverb,1020,…でさえ,java
possibly,adverb,1010,あるいは、ことによると,java
never,adverb,979,いまだかつて…ない,java
fully,adverb,953,十分に,java
previously,adverb,924,以前に,java
automatically,adverb,923,自動的に、機械的に,java
initially,adverb,857,初め(のうち)は,java
atomically,adverb,831,微小に,java
thus,adverb,829,従って,java
newly,adverb,774,近ごろ,java
yet,adverb,721,まだ(…ない)、(今までのところでは)まだ(…ない),java
therefore,adverb,702,それゆえに、従って,java
later,adverb,688,もっと遅い、もっと後の,java
usually,adverb,680,通常、一般に,java
back,adverb,642,後ろに,java
rather,adverb,607,むしろ、いっそ…したほうがよい,java
often,adverb,584,しばしば,java
generally,adverb,570,一般に,java
dynamically,adverb,558,動的に,java
actually,adverb,549,実際に,java
still,adverb,541,静かな、しんとした,java
simply,adverb,515,簡単に、平易に,java
successfully,adverb,503,首尾よく,java
finally,adverb,427,最後に,java
together,adverb,418,共に,java
potentially,adverb,415,潜在的に,java
either,adverb,414,(二者のうちの)どちらかの一方,java
properly,adverb,408,適切に、礼儀正しく,java
implicitly,adverb,408,暗に、暗に,java
far,adverb,405,遠くに,java
respectively,adverb,385,それぞれ、おのおの,java
completely,adverb,374,完全に、完璧(かんぺき)に,java
less,adverb,361,(量・程度が)より少ない,java
specifically,adverb,357,明確に、はっきりと,java
internally,adverb,339,内部で,java
optionally,adverb,324,随意に、オプションで,java
necessarily,adverb,323,必ず、必然的に,java
right,adverb,316,正しく、公正に,java
commonly,adverb,315,一般に,java
abruptly,adverb,313,不意に、出し抜けに,java
sometimes,adverb,293,時々,java
additionally,adverb,288,加えて、,java
effectively,adverb,282,有効に,java
enough,adverb,264,十分な,java
subsequently,adverb,252,その後,java
lexicographically,adverb,249,辞書学的に,java
similarly,adverb,238,類似して,java
correctly,adverb,234,正確に,java
indirectly,adverb,233,間接的に,java
readonly,adverb,229,読み出し専用の,java
regardless,adverb,229,それでも、とにかく,java
entirely,adverb,224,まったく、完全に,java
forward,adverb,215,前方へ,java
concurrently,adverb,196,同時に,java
statically,adverb,196,静的に,java
logically,adverb,195,論理的に,java
asynchronously,adverb,191,非同期的に,java
recursively,adverb,190,再帰的に,java
strongly,adverb,187,丈夫に,java
strictly,adverb,185,厳しく,java
alternatively,adverb,183,二者択一的に,java
exceptionally,adverb,182,並はずれて,java
numerically,adverb,180,数の上で(は),java
lazily,adverb,178,のらりくらり、だらだら,java
uniquely,adverb,177,独自に,java
vertically,adverb,167,垂直に,java
formally,adverb,160,正式に、公式に,java
primarily,adverb,142,主として,java
rarely,adverb,141,めったに…しない,java
originally,adverb,135,もとは、元来,java
visually,adverb,134,視覚的に、目に見えるように,java
recently,adverb,128,最近,java
horizontally,adverb,126,水平に,java
partially,adverb,124,部分的に,java
appropriately,adverb,121,適切に,java
sequentially,adverb,120,順次に,java
exclusively,adverb,120,もっぱら、排他的に,java
independently,adverb,114,独立して、自主的に,java
approximately,adverb,112,おおよそ、ほぼ,java
namely,adverb,112,(いっそう具体的に)すなわち,java
silently,adverb,111,もくもくと,java
locally,adverb,111,局所的に、特定の場所で,java
repeatedly,adverb,110,繰り返して,java
must,adverb,107,…にちがいない、…する必要がある,java
consequently,adverb,103,その結果(として),java
differently,adverb,101,異なるように、(…と)異なって,java
much,adverb,100,多くの,java
anywhere,adverb,99,どこにでも,java
safely,adverb,99,安全に,java
merely,adverb,98,単に(…にすぎない),java
validly,adverb,94,有効に,java
mutually,adverb,92,相互に,java
probably,adverb,90,たぶん、おそらく,java
fast,adverb,89,速い、急速な,java
definitely,adverb,88,明確に,java
incorrectly,adverb,88,間違って,java
ever,adverb,87,これまでに,java
earlier,adverb,87,先ほどの、もっと早く,java
solely,adverb,85,たった一人で、単独で,java
conceptually,adverb,84,概念的に,java
inherently,adverb,83,生得的に、本質的に,java
efficiently,adverb,83,能率的に、効率よく,java
especially,adverb,81,特に,java
thereby,adverb,81,それによって,java
frequently,adverb,80,頻繁に,java
soon,adverb,80,まもなく、(もう)すぐ,java
programmatically,adverb,79,プログラムに従って,java
syntactically,adverb,79,統語的に,java
accordingly,adverb,78,それに応じて,java
away,adverb,78,離れて,java
unconditionally,adverb,78,絶対に,java
quickly,adverb,77,速く、急いで、すばやく、急速に,java
perhaps,adverb,77,たぶん、もしかして,java
easily,adverb,76,容易に、たやすく,java
furthermore,adverb,75,なお、そのうえ,java
indefinitely,adverb,73,不明確に,java
almost,adverb,71,ほとんど,java
precisely,adverb,70,正確に,java
simultaneously,adverb,70,同時に,java
consistently,adverb,70,首尾一貫して,java
lexically,adverb,70,単語によって,java
significantly,adverb,68,意味ありげに,java
interactively,adverb,68,相互作用的に,java
separately,adverb,65,別れて,java
alone,adverb,64,ただひとりで,java
faster,adverb,64,速くする,java
ahead,adverb,64,前方に,java
conveniently,adverb,63,便利に,java
eventually,adverb,63,結局は、ついに(は),java
accurately,adverb,61,正確に、精密に,java
conditionally,adverb,59,条件的に,java
quite,adverb,59,まったく,java
likewise,adverb,58,同様に,java
equivalently,adverb,57,等価に,java
actively,adverb,56,活動的に,java
manually,adverb,55,手動で、手作業で,java
reflectively,adverb,53,反射的に,java
reasonably,adverb,53,道理に従って,java
twice,adverb,53,2度,java
slightly,adverb,52,わずかに,java
algorithm,adverb,52,演算法、算法、アルゴリズム,java
widely,adverb,50,広く,java
continuously,adverb,50,連続的に,java
synchronously,adverb,48,同調的に,java
particularly,adverb,47,特に、とりわけ,java
really,adverb,47,本当に、実際に,java
periodically,adverb,47,定期的に,java
relatively,adverb,46,相対的に,java
externally,adverb,45,外部的に、外部から、外面的に(は),java
moreover,adverb,45,そのうえ,java
arbitrarily,adverb,45,任意に,java
unexpectedly,adverb,44,思いがけなく、意外なことに(は),java
semantically,adverb,44,意味に関して,java
conservatively,adverb,44,保守的に、伝統的に,java
naturally,adverb,43,自然に、当然,java
structurally,adverb,43,構造的に,java
essentially,adverb,43,本質的に,java
closely,adverb,42,接近して,java
randomly,adverb,42,ランダムに,java
graphically,adverb,41,図表を用いて,java
specially,adverb,40,特別に,java
