wordname,pos,freq,meaning,language
class,noun,163486,部類、種類,java
java,noun,142558,由来は開発チームがよく通っていたカフェのメニューからとったという説など、諸説あります,java
method,noun,140307,方法、方式,java
object,noun,82122,物、物体,java
value,noun,66546,価値,java
type,noun,63161,型、型式,java
interface,noun,52048,接点、インターフェイス,java
parameter,noun,45155,媒介変数、パラメーター,java
description,noun,42839,記述、叙述,java
name,noun,37591,名,java
void,noun,36423,虚空、無限,java
field,noun,35996,場,java
documentation,noun,31667,文書調べ,java
oracle,noun,31191,神託、託宣、神託所、もちろんオラクル社,java
jdk,noun,29796,Javaのソフトウェア開発キット,java
package,noun,29075,包み、小包,java
element,noun,29008,要素,java
component,noun,28516,構成している,java
public,noun,27791,公衆、国民,java
use,noun,24980,使用(すること)、利用(法),java
constructor,noun,24250,建設(業)者,java
index,noun,23605,(本などの)索引,java
attribute,noun,22970,属性,java
page,noun,22557,ページ,java
module,noun,22344,基本単位、モジュール,java
file,noun,21659,ファイル、とじ込み帳,java
term,noun,21498,学期、期間,java
throw,noun,21325,投げること、投球,java
array,noun,21297,整列させる、盛装する,java
developer,noun,20681,開発者,java
overview,noun,20486,概観,java
affiliate,noun,20427,団体、会員,java
trademark,noun,20293,(登録)商標、トレードマーク,java
boolean,noun,19549,ブール値,java
event,noun,19346,(重要な)出来事,java
modifier,noun,19172,修飾子,java
code,noun,18592,(体系だった)符号、記号,java
example,noun,18385,例、実例,java
stream,noun,17752,流れ、川、(特に)小川,java
list,noun,17554,一覧表、表,java
time,noun,17548,時、時間,java
text,noun,17363,文,java
byte,noun,17322,バイト,java
instance,noun,17269,例、実例,java
string,noun,17234,ひも、糸,java
default,noun,16822,不履行、怠慢,java
vector,noun,16738,ベクトル,java
set,noun,16708,一式，セット,java
document,noun,16662,文書,java
reference,noun,16386,(…に)言及すること,java
detail,noun,16113,細部、細目,java
content,noun,15848,中身、内容,java
tree,noun,15831,木,java
data,noun,15271,データ、資料,java
number,noun,14644,数、総数,java
exception,noun,14498,例外,java
key,noun,14440,かぎ,java
color,noun,14283,色,java
character,noun,13758,性格、性質,java
implementation,noun,13362,実施、実行,java
operation,noun,13265,運転、作業,java
definition,noun,12954,定義,java
table,noun,12753,テーブル、卓,java
property,noun,12714,財産、資産,java
source,noun,12149,源泉,java
right,noun,12138,正当、正義、権利,java
way,noun,11998,道路,java
argument,noun,11991,議論,java
search,noun,11910,捜索、追求,java
policy,noun,11812,政策、方針,java
link,noun,11776,連結,java
result,noun,11690,結果,java
script,noun,11637,スクリプト,java
node,noun,11187,結び(目)、結節点,java
size,noun,11065,大きさ,java
security,noun,10918,安全,java
input,noun,10914,入力,java
summary,noun,10729,概要、要約,java
skip,noun,10556,跳躍、スキップ,java
wait,noun,10494,待つこと,java
browser,noun,10436,ブラウザ,java
help,noun,10399,助け、救助,java
country,noun,10373,国,java
copyright,noun,10314,著作権,java
navigation,noun,10229,交通,java
traffic,noun,10219,交通、通行,java
enhancement,noun,10218,増大,java
redistribution,noun,10184,再分布,java
parkway,noun,10181,パークウェー、駐車場の設備のある駅,java
shore,noun,10181,岸、海岸,java
bug,noun,10178,(小さな)昆虫、(機械・電算プログラミングなどの)欠陥,java
system,noun,9995,組織、機構,java
thread,noun,9756,糸、縫い糸,java
image,noun,9709,画像,java
error,noun,9328,誤り、間違い,java
map,noun,9314,地図,java
listener,noun,9206,聞く人、傾聴者,java
tab,noun,9199,タブ、つまみ、付け札,java
constr,noun,8970,《略記》construction（建築）,java
float,noun,8956,浮遊物,java
path,noun,8913,小道,java
sun,noun,8880,太陽,java
date,noun,8595,日付,java
message,noun,8531,通信、メッセージ,java
row,noun,8330,列、並び,java
action,noun,8314,行動,java
management,noun,8213,経営、管理,java
sql,noun,7920,SQL（Structured Query Language）で記述されたデータを格納しているファイルに付けられる拡張子,java
print,noun,7854,印刷の字体、活字,java
option,noun,7826,選択、取捨,java
offset,noun,7822,オフセット(印刷法),java
implement,noun,7810,道具,java
