wordname,pos,freq,meaning,language
static,adjective,44884,静的な、活気のない,java
public,adjective,20951,公共の、公開の,java
new,adjective,20017,新しい,java
final,adjective,14049,最終の、最終的な,java
subject,adjective,12798,従属する、属国の,java
true,adjective,11936,真実の,java
current,adjective,11862,今の、現在の,java
detailed,adjective,10397,詳細な,java
conceptual,adjective,10137,概念の,java
constant,adjective,8574,不変の、一定の,java
first,adjective,6410,第一番目の,java
abstract,adjective,6174,抽象的な、理論的な,java
serializable,adjective,5783,直列化可能,java
basic,adjective,5565,基礎の、基本的な,java
false,adjective,5386,間違った、誤った,java
active,adjective,4905,活動的な、活発な,java
short,adjective,4816,短い、(寸法が)短い,java
summary,adjective,4802,要約した、手短,java
empty,adjective,4481,中身のない、空(から)の,java
double,adjective,4457,2倍の,java
throwable,adjective,4253,投入可能な,java
second,adjective,4244,第2番目,java
specific,adjective,4000,明確な、具体的な,java
equal,adjective,3907,等しい、相等しい,java
available,adjective,3880,(すぐに)利用できる、入手できる,java
local,adjective,3823,(特定の)地方の、地元の,java
following,adjective,3567,次に続く、次の,java
variable,adjective,3375,変わりやすい、変化しやすい,java
single,adjective,3281,たったひとつの,java
valid,adjective,3279,妥当な、有効な,java
key,adjective,3201,基本的な、重要な,java
next,adjective,3170,次の,java
maximum,adjective,3119,最大の、最高の,java
optional,adjective,2971,随意の、任意の,java
temporal,adjective,2663,時間的な、一時の,java
possible,adjective,2608,可能な,java
long,adjective,2555,長い、長めの,java
last,adjective,2476,終わりの、最終の,java
primitive,adjective,2416,原始の、初期の,java
negative,adjective,2372,否定的な、反対の,java
accessible,adjective,2351,近づきやすい、行きやすい,java
different,adjective,2305,異なった、違った,java
virtual,adjective,2191,虚像の、仮想の,java
present,adjective,2167,現在の,java
equivalent,adjective,2158,同等の、同価値の,java
initial,adjective,2131,初めの、最初の,java
great,adjective,2042,大きい、とても,java
native,adjective,1980,出生地の、自国の,java
future,adjective,1935,未来,java
particular,adjective,1903,特有の,java
private,adjective,1880,私用の、個人の、内密の,java
standard,adjective,1840,標準、基準,java
large,adjective,1840,大きい、広い,java
open,adjective,1774,開いた、あいている,java
previous,adjective,1768,前の、以前の,java
multiple,adjective,1765,多数の、多様な,java
internal,adjective,1747,内面的な、内在的な,java
remote,adjective,1714,遠い、遠隔の,java
string,adjective,1657,ひもで編んだ,java
less,adjective,1627,より少ない、いっそう少ない,java
appropriate,adjective,1623,適当な、適切な,java
invalid,adjective,1617,無効な,java
additional,adjective,1607,付加的な、追加の,java
necessary,adjective,1597,必要な、なくてはならない,java
low,adjective,1477,低い,java
visible,adjective,1456,目に見える,java
direct,adjective,1436,まっすぐな、直進の,java
inclusive,adjective,1403,包括した,java
common,adjective,1369,共通の、共同の,java
binary,adjective,1326,二進(法)の,java
comparable,adjective,1321,(…と)比較できて,java
relative,adjective,1303,比較上の、相対的な,java
small,adjective,1295,小さい,java
simple,adjective,1269,簡単な、やさしい,java
immutable,adjective,1243,不変の、不易の,java
general,adjective,1230,一般的な,java
minimum,adjective,1212,最小の、最小限の,java
original,adjective,1187,起源の,java
corresponding,adjective,1183,一致する、対応する,java
useful,adjective,1178,役に立つ,java
main,adjective,1107,主な、主要な,java
safe,adjective,1091,安全な,java
positive,adjective,1090,明確な、疑いのない、否定しがたい、はっきりした、直截な、完全な、まったくの、確信して、(…を)確信して、自信のある,java
generic,adjective,1089,包括的な、総称的な,java
runnable,adjective,1087,動作可能な,java
least,adjective,1079,最も小さい,java
high,adjective,1071,高い,java
tree,adjective,1066,木,java
logical,adjective,1061,論理的な、筋の通った,java
top,adjective,1037,頂上,java
boolean,adjective,1008,ブール値の,java
foreign,adjective,980,外国の、外国産の,java
complete,adjective,980,全部の、完璧な,java
upper,adjective,980,上のほうの,java
old,adjective,963,年取った、古い,java
compatible,adjective,947,両立できて、互換性のある,java
clear,adjective,944,はっきりした,java
many,adjective,942,多数の,java
actual,adjective,941,現実の、実際上の,java
numeric,adjective,929,数値的,java
exclusive,adjective,909,排他的な、閉鎖的な,java
accessibility,adjective,894,接近できること,java
full,adjective,877,いっぱいの、満ちた,java
subsequent,adjective,865,その次の、続いて起こる,java
responsible,adjective,860,責任のある,java
vertical,adjective,852,垂直の、鉛直の,java
various,adjective,846,さまざまな、多方面の,java
unmodifiable,adjective,831,形や特徴、または強さを変更できない,java
special,adjective,821,特別の、特殊の,java
unknown,adjective,820,未知の、不明の,java
normal,adjective,818,標準の,java
iterable,adjective,803,繰り返し可能な,java
atomic,adjective,803,原子の、原子力の,java
arbitrary,adjective,778,任意の、恣意的な,java
legal,adjective,778,法律(上)の、法律に関する,java
registered,adjective,761,登録した、記名の,java
serial,adjective,741,連続的な、ひと続きの,java
several,adjective,706,いくつかの、数名の,java
closed,adjective,704,閉じた、閉鎖した,java
external,adjective,688,外部の、対外的な,java
dynamic,adjective,683,動的な,java
asynchronous,adjective,678,非同時性の,java
total,adjective,678,全体の、完全な、絶対的な,java
horizontal,adjective,661,水平な,java
disabled,adjective,651,不具になった、無効になった,java
symbolic,adjective,647,象徴的な、(…を)象徴した,java
due,adjective,632,支払い期限の来た、当然の、相応の,java
applicable,adjective,632,適用できる、当てはまる、適切な,java
desired,adjective,625,願望された、待望の,java
entire,adjective,623,全体の、全部の,java
executable,adjective,612,実行可能な,java
functional,adjective,608,機能の、職務上の,java
regular,adjective,608,規則正しい、規則的な,java
unsigned,adjective,604,署名されていない、無署名の,java
enable,adjective,591,可能にさせる、できるようにする,java
ternary,adjective,583,三つから成る,java
qualified,adjective,581,資格のある、適任の,java
free,adjective,579,自由な、縛られていない、束縛のない、行動の自由な、(人権・政治上の)自由を有する、自主独立の、自由主義の、参加自由の、自主的な、自由制の,java
right,adjective,572,正しい、正当な,java
pluggable,adjective,567,接続可能な,java
left,adjective,555,左の,java
similar,adjective,542,類似した,java
primary,adjective,541,初期の、主要な,java
decimal,adjective,536,十進法の、少数の,java
readable,adjective,528,おもしろく読める、読みやすい,java
independent,adjective,527,独立した、自主の,java
related,adjective,527,関係のある、関連した,java
identical,adjective,524,まったく同じ、同一の,java
audio,adjective,517,可聴周波の、音声(部分)の,java
proper,adjective,505,適切な、ふさわしい,java
composite,adjective,498,混成の、合成の、混合式の,java
formal,adjective,497,正式の、公式の,java
unique,adjective,495,唯一の、独特な,java
transferable,adjective,484,移すことのできる、転写できる,java
suitable,adjective,483,適当な、適切な,java
undefined,adjective,481,定義されていない,java
able,adjective,479,…できる、…するに足る,java
natural,adjective,478,自然の、自然界の,java
inner,adjective,477,内(側)の、内部の,java
explicit,adjective,471,はっきりした、明示的な,java
third,adjective,469,第3番目の,java
white,adjective,467,白い,java
central,adjective,449,中心の、中央の,java
sequential,adjective,448,連続的な、続いて起こる,java
exact,adjective,448,正確な,java
certain,adjective,444,(…を)確信して、確かだと思って,java
unspecified,adjective,441,明示してない、不特定の,java
nested,adjective,438,入れ子になった,java
editable,adjective,428,編集可能,java
dependent,adjective,424,従属関係の、隷属的な,java
canonical,adjective,422,規準的な、標準的な,java
diagnostic,adjective,422,診断(上)の、診断に役立って,java
manifest,adjective,420,明白な、判然とした,java
fixed,adjective,416,固定した,java
textual,adjective,415,本文の、文字どおりの,java
efficient,adjective,414,能率的な,java
unary,adjective,411,単一の要素または成分から成る,java
illegal,adjective,410,不法の、違法の,java
separate,adjective,409,別の、異なる、独自の,java
update,adjective,408,(…を)最新のものにする,java
nominal,adjective,407,名ばかりの、有名無実の,java
automatic,adjective,398,自動の、機械的な,java
disable,adjective,398,できなくする,java
late,adjective,394,(遅れた,java
red,adjective,387,赤い,java
live,adjective,385,生きている、活動中の,java
rectangular,adjective,380,長方形の、直角の,java
best,adjective,379,最もよい、最良の,java
sensitive,adjective,378,敏感な、感じやすい,java
absolute,adjective,375,絶対的な、完全な,java
unchanged,adjective,375,変化していない、不変の,java
successful,adjective,374,成功した,java
random,adjective,372,手当たり次第の,java
callable,adjective,370,呼び出し可能な,java
parallel,adjective,370,平行の、(…と)平行して,java
receive,adjective,366,受け取る、受理する,java
ordered,adjective,365,整然とした、規則正しい,java
close,adjective,361,接近した、類似した,java
correct,adjective,360,正しい、間違いのない,java
concrete,adjective,359,具体的な、有形の,java
real,adjective,359,真の、本当の,java
extra,adjective,350,余分の、臨時の,java
major,adjective,344,大きいほうの、主要な,java
proxy,adjective,335,代理の,java
unaffected,adjective,335,影響を受けないで,java
significant,adjective,333,重要な,java
physical,adjective,331,物質(的)の、身体の,java
raw,adjective,328,生(なま)の,java
unable,adjective,326,できないで,java
required,adjective,326,必須の,java
obsolete,adjective,324,時代遅れの、旧式の,java
cryptographic,adjective,323,暗号法の,java
early,adjective,323,早く、早くに,java
wide,adjective,323,幅の広い,java
individual,adjective,318,個々の,java
volatile,adjective,307,揮発性の、変わりやすい、不安定な,java
unsupported,adjective,302,支えられていない,java
capable,adjective,296,有能な、(…が)可能で,java
printable,adjective,295,印刷できる,java
exceptional,adjective,294,例外的な、異常な,java
literal,adjective,293,文字どおりの、逐語的な,java
unnamed,adjective,292,名前のない、無名の,java
partial,adjective,291,一部(分)の、部分的な,java
mutable,adjective,290,変わりやすい、無常の,java
adjacent,adjective,288,近隣の、隣接した,java
global,adjective,286,グローバルな、全体的な,java
interested,adjective,283,興味をもった、関心があって,java
associative,adjective,282,連合の、連帯の,java
anonymous,adjective,280,匿名の,java
human,adjective,275,人の、人間の,java
ready,adjective,275,用意が整って、準備ができて,java
adjustable,adjective,274,調整できる,java
good,adjective,268,良い、優秀な,java
overall,adjective,266,全部の、総体的な,java
elliptic,adjective,265,省略法の、省略的な,java
distinct,adjective,264,他とまったく別な、はっきりした,java
unchecked,adjective,262,検査をし(てい)ない,java
intermediate,adjective,262,中間の,java
activatable,adjective,259,活性化できる,java
stateless,adjective,256,状態を持たない,java
auxiliary,adjective,254,補助の、予備の,java
easy,adjective,254,容易な、平易な,java
important,adjective,254,重要な、重大な,java
scrollable,adjective,252,スクロール可能な,java
little,adjective,250,小さい、かわいらしい,java
minor,adjective,249,少数派の、重要でない,java
ordinal,adjective,246,順序を示す,java
content,adjective,246,満足して、甘んじて,java
young,adjective,244,若い、幼い,java
consistent,adjective,243,首尾一貫した,java
visual,adjective,242,視覚の,java
temporary,adjective,242,一時の、仮の、間に合わせの,java
invisible,adjective,241,目に見えない,java
miscellaneous,adjective,238,種々雑多な(ものから成る)、多方面の,java
extended,adjective,236,伸ばした、広げた,java
observable,adjective,235,観察できる、目につく,java
