wordname,pos,freq,meaning,language
new,adjective,29577,新しい,python
next,adjective,21614,次の,python
previous,adjective,19837,先の、前の,python
false,adjective,14952,間違った、誤った,python
last,adjective,12644,最後の,python
current,adjective,12165,今の、現在の,python
est(活用),adjective,10750,形容詞・副詞の最上級の語尾,python
available,adjective,10687,利用できる、入手できる,python
vertical,adjective,10541,垂直の,python
following,adjective,10259,次に続く,python
optional,adjective,10185,随意の,python
first,adjective,9571,第一(番目)の、最初の,python
true,adjective,8583,真実の,python
full,adjective,8556,いっぱいの,python
possible,adjective,8538,可能な,python
open,adjective,8435,あいている,python
empty,adjective,7732,中身のない,python
single,adjective,7731,たったひとつの,python
different,adjective,7275,異なった,python
specific,adjective,6528,明白に示された,python
variable,adjective,6413,変わりやすい,python
iterable,adjective,6239,繰り返し可能な,python
main,adjective,6238,主な,python
standard,adjective,6045,標準、基準,python
binary,adjective,5931,二の,python
regular,adjective,5732,規則正しい,python
dictionary,adjective,5593,辞書,python
useful,adjective,5467,役に立つ,python
local,adjective,5442,場所の,python
many,adjective,5091,多数の,python
special,adjective,5065,特別の,python
second,adjective,4975,第2番目の,python
simple,adjective,4915,簡単な、単純な,python
old,adjective,4903,年取った,python
original,adjective,4674,根源の,python
additional,adjective,4619,付加的な,python
multiple,adjective,4419,多数の,python
long,adjective,4415,長い,python
callable,adjective,4333,呼びだし可能な,python
global,adjective,4321,地球全体の,python
common,adjective,4320,共通の,python
low,adjective,4145,低い,python
high,adjective,3849,高い,python
similar,adjective,3788,類似した,python
static,adjective,3766,静的な,python
internal,adjective,3748,内(部)の,python
complex,adjective,3662,複合,python
recent,adjective,3635,最近の,python
large,adjective,3551,(形など)大きい,python
various,adjective,3483,さまざまな,python
several,adjective,3414,いくつかの,python
equivalent,adjective,3406,(価値・数量など)同等の,python
key,adjective,3393,重要な,python
asynchronous,adjective,3306,非同時性の,python
particular,adjective,3304,特有の,python
decimal,adjective,3136,十進法の、少数の,python
arbitrary,adjective,3109,任意の,python
valid,adjective,3049,正当な,python
numeric,adjective,2989,数値的な,python
good,adjective,2938,良い、優秀な,python
negative,adjective,2869,否定の、否認の,python
invalid,adjective,2821,無効な,python
positional,adjective,2809,位置(上)の,python
small,adjective,2748,小さい,python
equal,adjective,2740,等しい,python
abstract,adjective,2717,抽象的な,python
easy,adjective,2706,容易な,python
initial,adjective,2617,初めの,python
basic,adjective,2612,基礎の,python
normal,adjective,2593,標準の、ノーマルな,python
present,adjective,2581,現在の,python
virtual,adjective,2575,(表面または名目上はそうでないが)事実上の、虚像の,python
literal,adjective,2567,文字(上)の、文字どおりの,python
stable,adjective,2453,安定した,python
real,adjective,2398,真の、本当の,python
compatible,adjective,2392,(…と)(調和して)両立できて,python
