wordname,pos,freq,meaning,language
also,adverb,26904,また,python
instead,adverb,14719,その代わりとして,python
always,adverb,8699,常に,python
otherwise,adverb,6681,さもなければ,python
even,adverb,5261,…でさえ(も),python
directly,adverb,5149,まっすぐに,python
rather,adverb,4917,むしろ、むしろ喜んで,python
close,adverb,4891,接して、近くに,python
already,adverb,4377,すでに,python
however,adverb,4267,しかしながら,python
still,adverb,4209,静かな、しんとした,python
well,adverb,4154,満足に、よく,python
automatically,adverb,4103,自動的に、機械的に,python
long,adverb,3985,長く、長い間,python
else,adverb,3983,そのほかの,python
previously,adverb,3810,以前に,python
explicitly,adverb,3207,はっきりと,python
usually,adverb,3157,通常、普通に,python
currently,adverb,3088,現在は、今のところ,python
correctly,adverb,2869,正確に,python
never,adverb,2750,一度も…しない、決して…ない,python
actually,adverb,2525,実際に,python
back,adverb,2439,後ろに,python
finally,adverb,2410,最後に,python
normally,adverb,2211,標準的に,python
exactly,adverb,2206,正確に,python
often,adverb,1975,しばしば,python
immediately,adverb,1944,直ちに,python
simply,adverb,1885,簡単に、平易に,python
later,adverb,1854,もっと遅い,python
typically,adverb,1816,典型的に,python
faster,adverb,1625,速くする,python
additionally,adverb,1589,付加的に,python
therefore,adverb,1514,それゆえに、従って,python
respectively,adverb,1507,それぞれ、おのおの,python
thus,adverb,1433,このように,python
sometimes,adverb,1376,時には、時々,python
yet,adverb,1359,まだ(…ない),python
properly,adverb,1354,適当に、適切に,python
together,adverb,1250,共に、一緒に,python
probably,adverb,1156,たぶん、おそらく,python
much,adverb,1129,多くの,python
generally,adverb,1096,一般に、普通(は),python
possibly,adverb,1093,あるいは、できる限り,python
far,adverb,1073,遠くに,python
fully,adverb,1040,十分に,python
internally,adverb,1016,内部で,python
implicitly,adverb,980,暗に、暗に,python
especially,adverb,947,特に、とりわけ,python
completely,adverb,934,完全に,python
really,adverb,933,本当に、実際に,python
optionally,adverb,931,随意に、オプションで,python
either,adverb,917,(二者のうちの)どちらかの一方の,python
silently,adverb,905,もくもくと,python
slightly,adverb,905,わずかに、少し,python
similarly,adverb,799,類似して、同様に,python
almost,adverb,787,ほとんど、もう少しで,python
easily,adverb,781,容易に,python
less,adverb,760,(量・程度が)より少ない,python
mostly,adverb,724,大部分は,python
dynamically,adverb,707,動的に,python
forward,adverb,704,前方へ、先へ(進んで),python
commonly,adverb,701,一般に,python
manually,adverb,686,手動で、手作業で,python
right,adverb,681,(道徳上・一般通念からみて)正しい、正当な,python
specifically,adverb,677,明確に、はっきりと,python
recursively,adverb,657,再帰的に,python
prior,adverb,654,(時間・順序が)前の、先の,python
regardless,adverb,652,それでも、とにかく,python
temporarily,adverb,640,仮に、一時,python
necessarily,adverb,635,必ず、必然的に,python
successfully,adverb,627,首尾よく,python
newly,adverb,614,新たに,python
originally,adverb,593,もとは、元来,python
perhaps,adverb,593,たぶん、もしかして,python
twice,adverb,581,2度,python
anymore,adverb,566,もはや(…ない、しない),python
earlier,adverb,539,先ほどの、もっと早く,python
quite,adverb,530,まったく、すっかり,python
potentially,adverb,527,潜在的に、もしかすると,python
significantly,adverb,487,意味ありげに、かなり、著しく,python
entirely,adverb,481,まったく、完全に,python
double,adverb,477,2倍に,python
enough,adverb,475,十分な,python
quickly,adverb,461,速く、急いで,python
initially,adverb,457,初め(のうち)は,python
primarily,adverb,426,主として,python
pretty,adverb,426,かわいらしい、見事な,python
safely,adverb,422,安全に、,python
statically,adverb,412,静的に,python
efficiently,adverb,407,能率的に,python
differently,adverb,398,異なるように、違ったふうに,python
particularly,adverb,397,特に、とりわけ,python
alternatively,adverb,396,二者択一的に、代わりに,python
ever,adverb,395,かつて、これまでに,python
roughly,adverb,394,荒く、乱暴に,python
soon,adverb,383,まもなく,python
incorrectly,adverb,381,間違って,python
away,adverb,371,離れて、向こうに(行って),python
effectively,adverb,362,有効に,python
eventually,adverb,356,結局は,python
indirectly,adverb,340,間接的に,python
frequently,adverb,335,しばしば,python
occasionally,adverb,332,時折、時たま,python
alone,adverb,321,ただひとりで、孤独で,python
simultaneously,adverb,321,同時に,python
accordingly,adverb,321,それに応じて、従って,python
except,adverb,320,…を除いては,python
anywhere,adverb,316,どこにでも,python
unconditionally,adverb,314,絶対に、諸手を挙げて,python
formerly,adverb,309,以前(は),python
separately,adverb,308,別れて、別々に,python
appropriately,adverb,306,適切に、ふさわしく,python
unfortunately,adverb,301,不幸にも、不運にも,python
consistently,adverb,301,首尾一貫して,python
fast,adverb,285,急速に、急いで,python
essentially,adverb,278,本質的に,python
locally,adverb,277,位置上、局所的に,python
interactively,adverb,270,相互作用的に,python
carefully,adverb,269,注意深く,python
rarely,adverb,266,めったに…しない,python
repeatedly,adverb,266,繰り返して,python
strictly,adverb,263,厳しく、厳密に,python
recently,adverb,261,最近、近ごろ,python
somewhat,adverb,259,やや、いくぶん,python
fairly,adverb,248,公正に、公平に,python
widely,adverb,247,広く、広範囲に,python
specially,adverb,242,特別に,python
partially,adverb,238,部分的に,python
closely,adverb,232,接近して,python
mainly,adverb,230,主に、主として,python
likewise,adverb,229,同様に,python
anyway,adverb,224,とにかく、それにもかかわらず,python
highly,adverb,224,高く,python
asynchronously,adverb,223,非同期的に,python
relatively,adverb,222,相対的に,python
programmatically,adverb,216,プログラムコードによって,python
independently,adverb,214,独立して、自主的に,python
individually,adverb,209,個人として、個人的には,python
orelse,adverb,204,そのかわり,python
solely,adverb,203,たった一人で,python
nearly,adverb,198,ほとんど、もう少しで,python
apart,adverb,197,離れて、別れて,python
accidentally,adverb,191,偶然に,python
transparently,adverb,190,透明に,python
bit,adverb,186,少しだけ，いささか,python
approximately,adverb,184,おおよそ、ほぼ,python
obviously,adverb,180,明らかに,python
arbitrarily,adverb,180,任意に、恣意(しい)的に、勝手(気まま)に、独断的に、独裁的に,python
moreover,adverb,179,そのうえ、さらに,python
maybe,adverb,179,たぶん、もしかしたら,python
indefinitely,adverb,177,不明確に,python
concurrently,adverb,175,同時に,python
somewhere,adverb,174,どこかに,python
mutually,adverb,172,相互に,python
subsequently,adverb,170,その後,python
greatly,adverb,170,大いに、はなはだ,python
lazily,adverb,164,ぶらぶら、だらだら,python
likely,adverb,161,ありそうな,python
hence,adverb,158,このゆえに,python
notably,adverb,158,著しく、目立つほどに,python
hereby,adverb,155,これによって,python
clearly,adverb,155,明るく、明瞭に,python
alphabetically,adverb,149,アルファベット順に,python
merely,adverb,147,単に(…にすぎない),python
semantically,adverb,146,意味に関して,python
inadvertently,adverb,145,不注意に,python
unexpectedly,adverb,142,思いがけなく、不意に,python
precisely,adverb,142,正確に、精密に,python
largely,adverb,141,主として、大部分(は),python
substantially,adverb,140,実質上、大体は,python
absolutely,adverb,140,絶対的に、無条件に,python
officially,adverb,134,公式に、正式に,python
furthermore,adverb,133,なお、そのうえ,python
strongly,adverb,130,丈夫に、頑丈に,python
globally,adverb,128,世界的に(見ると),python
natively,adverb,128,天然に、自然に,python
early,adverb,127,早く,python
certainly,adverb,126,確かに、きっと間違いなく,python
elsewhere,adverb,123,どこかよそに、そのほかの場所では,python
purely,adverb,119,単に,python
permanently,adverb,118,永久に,python
identically,adverb,118,まったく同じに,python
incrementally,adverb,116,増加的に,python
consequently,adverb,116,その結果として,python
equally,adverb,111,等しく,python
friendly,adverb,111,友好的に、友人らしく,python
numerically,adverb,110,数の上で(は),python
exclusively,adverb,109,もっぱら,python
nevertheless,adverb,108,それにもかかわらず,python
restore,adverb,108,(…に)返す、修復する,python
little,adverb,108,小さい,python
ideally,adverb,108,理想的に,python
reasonably,adverb,107,道理に従って、合理的に,python
around,adverb,107,周囲に、周りに,python
presumably,adverb,106,思うに、多分,python
deliberately,adverb,105,慎重に、故意に,python
maliciously,adverb,103,悪意をもっ,python
syntactically,adverb,103,統語的に,python
extensively,adverb,103,広く,python
heavily,adverb,102,重く、どっかりと,python
formally,adverb,102,正式に、公式に,python
perfectly,adverb,100,完全に,python
conveniently,adverb,100,便利に,python
sally,adverb,98,打って出る,python
truly,adverb,98,真実に、偽りなく,python
conceptually,adverb,97,概念的に,python
inside,adverb,97,内部に,python
ahead,adverb,96,前方に,python
gracefully,adverb,95,優美に,python
equivalently,adverb,94,等価に,python
extremely,adverb,94,極端に,python
basically,adverb,93,基本原理として,python
nicely,adverb,92,りっぱに、心地よく,python
cryptographically,adverb,91,暗号で、暗号によって,python
freely,adverb,90,自由に,python
curly,adverb,89,渦巻き状の,python
technically,adverb,88,工業的に,python
insensitively,adverb,88,無神経に,python
infinitely,adverb,88,無限に,python
reliably,adverb,88,頼りになるように,python
